,store,sido,gungu,address,phone
0,가양동점,서울특별시,강서구,"서울특별시 강서구 양천로51길 11, 1층 102호(가양동,신환빌딩)",02-3663-3700
1,강남구청점,서울특별시,강남구,서울특별시 강남구 삼성로119길 41. 1층(삼성동),02-515-3576
2,강서구청점,서울특별시,강서구,"서울특별시 강서구 화곡로51길 7, 1층(화곡동,광성빌딩)",02-2603-8202
3,개봉1점,서울특별시,구로구,"서울특별시 구로구 개봉로11길 13, 1층 3호(개봉동)",02-2688-9292
4,개포2점,서울특별시,강남구,서울특별시 강남구 선릉로6길 12. 1층(개포동),02-575-2405
5,개포3점,서울특별시,강남구,서울특별시 강남구 개포로22길 23. 지상1층(개포동),02-575-8993
6,경복점,서울특별시,강남구,"서울특별시 강남구 봉은사로43길 8, 1층 102호(논현동)",02-3448-9999
7,고덕역점,서울특별시,강동구,서울특별시 강동구 고덕1동 643-2,02-428-0777
8,고척동점,서울특별시,구로구,서울특별시 구로구 고척2동 164-41,02-2685-0223
9,공덕동점,서울특별시,마포구,서울특별시 마포구 공덕동 111-187,02-707-1371
10,공덕역점,서울특별시,마포구,"서울특별시 마포구 마포대로11길 75 102 (공덕동, 공덕현대아파트상가)",02-704-0401
11,공릉철길공원점,서울특별시,노원구,서울특별시 노원구 동일로184길 69. 1층(공릉동),02-978-9222
12,광나루점,서울특별시,광진구,"서울특별시 광진구 아차산로78길 165, 1층 102호(광장동)",02-455-5111
13,광장동점,서울특별시,광진구,서울특별시 광진구 구의동 203-24,02-455-4566
14,교대역점,서울특별시,서초구,서울특별시 서초구 서초동 1640-1 1층,02-585-4066
15,구로2동점,서울특별시,구로구,서울특별시 구로구 구로2동 726-32,02-854-1929
16,구의동점,서울특별시,광진구,서울특별시 광진구 자양로 322 (구의동),02-455-6200
17,궁동점(서울),서울특별시,구로구,"서울특별시 구로구 부일로15길 4, 1층 103호(궁동)",02-2688-8429
18,금호로타리점,서울특별시,성동구,서울특별시 성동구 무수막길 89-2,02-2234-4870
19,금호역점,서울특별시,성동구,서울특별시 성동구 금호동3가 1394-3,02-2238-6777
20,길동2점,서울특별시,강동구,서울특별시 강동구 천중로49길 29(길동),02-484-1720
21,길동3점,서울특별시,강동구,"서울특별시 강동구 천호대로185길 89(길동, 1층)",02-470-3580
22,길음점,서울특별시,성북구,서울특별시 성북구 길음로 74 길음뉴타운5단지 2-105,02-914-7777
23,까치산점,서울특별시,강서구,서울특별시 강서구 화곡8동 342-7 1층 102,02-2696-2705
24,낙성대1점,서울특별시,관악구,서울특별시 관악구 봉천11동 1642-7,02-877-6451
25,난곡점,서울특별시,관악구,서울특별시 관악구 문성로16가길 43,02-859-7272
26,노량진2동점,서울특별시,동작구,서울특별시 동작구 노량진2동 306-5,02-823-1232
27,논현동점,서울특별시,강남구,"서울특별시 강남구 강남대로128길 27(논현동, 지상1층 102호)",02-515-5770
28,답십리점,서울특별시,동대문구,"서울특별시 동대문구 전농로3길 52-2, 1층(답십리동)",02-2247-4880
29,당산동점,서울특별시,영등포구,서울특별시 영등포구 영등포동8가 29-2,02-2671-5559
30,대림역점,서울특별시,구로구,서울특별시 구로구 구로중앙로8길 17,02-867-8292
31,대림점,서울특별시,영등포구,서울특별시 영등포구 대림로34길 14-1,02-842-4747
32,대방동점,서울특별시,동작구,서울특별시 동작구 대방동 23-128,02-826-2282
33,대조동점,서울특별시,은평구,서울특별시 은평구 역말로9길 40-1. 1층(대조동),02-355-6360
34,대치동점,서울특별시,강남구,서울특별시 강남구 남부순환로 2917 (1층 108호),02-562-4005
35,도봉점,서울특별시,도봉구,"서울특별시 도봉구 도봉로164길 10(도봉동, 1층)",02-955-8695
36,도화동점,서울특별시,마포구,서울특별시 마포구 도화동 268,02-702-2122
37,독립문점,서울특별시,종로구,서울특별시 종로구 통일로 222(교북동),02-722-9916
38,독산1점,서울특별시,금천구,"서울특별시 금천구 가산로 80-2, 지상1층(독산동)",02-853-0580
39,독산3점,서울특별시,금천구,서울특별시 금천구 독산로 319,02-867-1780
40,동소문동점,서울특별시,성북구,서울특별시 성북구 동선동5가 18,02-925-0016
41,등촌제일점,서울특별시,강서구,서울특별시 강서구 등촌1동 641-12,02-3661-7860
42,뚝섬점,서울특별시,광진구,서울특별시 광진구 능동로3가길 4(자양동),02-499-4330
43,마장동점,서울특별시,성동구,"서울특별시 성동구 청계천로10나길 80, 1층(마장동)",02-2294-1728
44,마천1점,서울특별시,송파구,서울특별시 송파구 마천로61길 9(마천동),02-409-0186
45,망우동점,서울특별시,중랑구,서울특별시 중랑구 망우3동 444-26,02-437-7733
46,망원동점,서울특별시,마포구,서울특별시 마포구 망원2동 475-42,02-337-8060
47,면목1점,서울특별시,중랑구,"서울특별시 중랑구 면목천로19길 16, 1층(면목동)",02-439-9830
48,명일점,서울특별시,강동구,서울특별시 강동구 동남로67길 44(명일동),02-441-4171
49,목동1점,서울특별시,양천구,서울특별시 양천구 목4동 772-12,02-2642-0177
50,목동3점,서울특별시,양천구,"서울특별시 양천구 목동동로 50 A-111(신정동, 목동아파트)",02-2645-3633
51,목동시장점,서울특별시,양천구,서울특별시 양천구 목동중앙남로10 7,02-2646-4803
52,묵동점,서울특별시,중랑구,"서울특별시 중랑구 중랑역로 150, 108호(묵동,우성상가)",02-973-4977
53,문정점,서울특별시,송파구,"서울특별시 송파구 송이로33길 6-17(문정동, 지상1층)",02-408-5797
54,미아점,서울특별시,강북구,서울특별시 강북구 도봉로29길 10 1층,02-985-1145
55,반포동점,서울특별시,서초구,서울특별시 서초구 반포1동 717-10 101,02-548-3334
56,발산동점,서울특별시,강서구,서울특별시 강서구 우장산로 9(내발산동),02-3664-0907
57,방배본점,서울특별시,서초구,서울특별시 서초구 동광로11길 25. 1층(방배동),02-592-9202
58,방이2점,서울특별시,송파구,서울특별시 송파구 방이동 159-16,02-423-8587
59,방화1점,서울특별시,강서구,"서울특별시 강서구 양천로11길 8 (방화동, 1층)",02-2663-2224
60,방화2점,서울특별시,강서구,"서울특별시 강서구 방화동로 116-1(방화동, 1층)",02-2666-9992
61,백련시장점,서울특별시,서대문구,서울특별시 서대문구 남가좌2동 347-1,02-376-3604
62,번동점,서울특별시,강북구,서울특별시 강북구 번3동 307 1층 5호,02-986-9200
63,보광2점,서울특별시,용산구,"서울특별시 용산구 장문로6길 101, 지상1층(동빙고동 1-9)",02-790-6161
64,보라매동점,서울특별시,관악구,서울특별시 관악구 보라매로 22 (봉천동),02-887-9282
65,봉천2동점,서울특별시,관악구,서울특별시 관악구 봉천동 7-125,02-889-1262
66,봉천현대점,서울특별시,관악구,"서울특별시 관악구 양녕로 35-1, 1층(봉천동)",02-877-4196
67,북가좌1점,서울특별시,서대문구,"서울특별시 서대문구 증가로20길 80, 1층(북가좌동)",02-372-1600
68,북가좌2점,서울특별시,서대문구,서울특별시 서대문구 북가좌2동 107-1 1층,02-375-7283
69,불광동점,서울특별시,은평구,서울특별시 은평구 불광로 192,02-353-3431
70,사당4점,서울특별시,동작구,서울특별시 동작구 사당동 1033-23,02-522-5773
71,삼성동점,서울특별시,강남구,"서울특별시 강남구 영동대로112길 61, 1층(삼성동)",02-515-4097
72,삼양동점,서울특별시,강북구,서울특별시 강북구 미아동 833-12,02-984-3325
73,상계역점,서울특별시,노원구,"서울특별시 노원구 상계로23다길 4, 102호(상계동)",02-938-9888
74,상도4동점,서울특별시,동작구,서울특별시 동작구 상도4동 210-8,02-813-2651
75,상도동점,서울특별시,동작구,서울특별시 동작구 상도동 22-107 102,02-815-6394
76,상봉동점,서울특별시,중랑구,서울특별시 중랑구 봉우재로 161(상봉동),02-434-1563
77,상일동점,서울특별시,강동구,"서울특별시 강동구 상일로 29-1, 1층(상일동)",02-428-1306
78,서울온천점,서울특별시,노원구,"서울특별시 노원구 노원로16길 15, 상가동 1층 104호 (하계동,중계9단지상가)",02-976-7030
79,서울지사,서울특별시,금천구,서울특별시 금천구 시흥동 985-14,02-2200-2540
80,서초동점,서울특별시,서초구,서울특별시 서초구 서초동 1360-34 지층,02-523-8889
81,석관동점,서울특별시,성북구,"서울특별시 성북구 돌곶이로22길 50, 1층(석관동)",02-968-1645
82,선수촌점,서울특별시,송파구,서울특별시 송파구 잠실7동 85-1 아시아선수촌상가내,02-418-2320
83,성내동점,서울특별시,강동구,서울특별시 강동구 성내1동 560-5,02-478-0092
84,성산동점,서울특별시,마포구,서울특별시 마포구 중동 64-25,02-307-9044
85,세검정점,서울특별시,종로구,서울특별시 종로구 평창동 285-2,02-391-0113
86,세곡점,서울특별시,강남구,서울특별시 강남구 세곡동 124-2 1층 16,02-2226-9255
87,수서점,서울특별시,강남구,"서울특별시 강남구 광평로51길 49, 수서주공아파트상가112",02-451-9292
88,수유점,서울특별시,강북구,"서울특별시 강북구 노해로11길 42, 1층(수유동)",02-908-8165
89,시흥공구점,서울특별시,금천구,서울특별시 금천구 시흥동 941-1,02-807-4248
90,시흥사거리점,서울특별시,금천구,서울특별시 금천구 시흥1동 995-10 1층,02-808-9291
91,신공덕점,서울특별시,마포구,"서울특별시 마포구 만리재옛길 20(신공덕동, 1층)",02-703-4456
92,신구로점,서울특별시,구로구,"서울특별시 구로구 구로중앙로28다 21, 1층101호(구로동)",02-861-4747
93,신길2점,서울특별시,영등포구,서울특별시 영등포구 신길동 451-1,02-849-0222
94,신내동점,서울특별시,중랑구,"서울특별시 중랑구 봉화산로 236(신내동, 102호)",02-432-5355
95,신대방역점,서울특별시,관악구,서울특별시 관악구 신림동 542-17,02-859-8575
96,신도림점,서울특별시,구로구,서울특별시 구로구 신도림로11다길 23(신도림동),02-2068-4547
97,신림2점,서울특별시,관악구,서울특별시 관악구 신림동 251-461,02-876-4811
98,신사동점,서울특별시,은평구,서울특별시 은평구 갈현로3길 33-8.1층,02-385-5355
99,신설동점,서울특별시,종로구,서울특별시 종로구 숭인2동 699,02-924-3936
100,신수동점,서울특별시,마포구,"서울특별시 마포구 토정로 240, 1-1(신수동, 상가)",02-713-1888
101,신월4점,서울특별시,양천구,서울특별시 양천구 신월4동 447-4,02-2601-4433
102,신월7점,서울특별시,양천구,서울특별시 양천구 신월7동 952-1 대지상가 105,02-2604-7978
103,신정1점,서울특별시,양천구,"서울특별시 양천구 중앙로32길 55, 1층 101호 (신정동)",02-2648-7295
104,신정2점,서울특별시,양천구,"서울특별시 양천구 신목로2길 11, 1층 103호 (신정동,청구아파트상가)",02-2654-9200
105,신풍시장점,서울특별시,영등포구,서울특별시 영등포구 신길3동 325-96,02-848-6433
106,쌍문동점,서울특별시,도봉구,서울특별시 도봉구 쌍문동 56 삼익A 상가 107,02-903-6660
107,암사2점,서울특별시,강동구,"서울특별시 강동구 구천면로 337, 1층 (암사동)",02-429-6692
108,암사역점,서울특별시,강동구,서울특별시 강동구 암사1동 501-25,02-442-9200
109,약수역점,서울특별시,중구,서울특별시 중구 신당동 321-1 1층,02-2238-4554
110,양재점,서울특별시,서초구,서울특별시 서초구 양재동 8-71 광성빌딜 1층,02-574-8631
111,여의도점,서울특별시,영등포구,"서울특별시 영등포구 여의나루로 117, 109(여의도동)",02-784-2228
112,연남동점,서울특별시,마포구,서울특별시 마포구 연남로 41(연남동),02-323-3823
113,영동아파트점,서울특별시,강남구,"서울특별시 강남구 역삼로64길 11, 1층(대치동)",02-562-1296
114,영등포점,서울특별시,영등포구,서울특별시 영등포구 당산동3가 27,02-2672-1454
115,영천시장점,서울특별시,서대문구,서울특별시 서대문구 천연동 1 냉천동 190,02-312-1719
116,오류1점,서울특별시,구로구,서울특별시 구로구 고척로1길 5 (오류동),02-2613-8781
117,옥수동점,서울특별시,성동구,"서울특별시 성동구 독서당로39길 48, 1층 (옥수동)",02-2297-9998
118,왕십리점,서울특별시,성동구,서울특별시 성동구 하왕십리2동 955-11,02-2293-8310
119,우면동점,서울특별시,서초구,"서울특별시 서초구 바우뫼로7길 11, 1층 106호(우면동,우면아파트상가)",02-579-4046
120,월계동점,서울특별시,노원구,서울특별시 노원구 광운로2나길 11,02-911-3141
121,월계삼호점,서울특별시,노원구,서울특별시 노원구 월계3동 12-1 삼호4차 상가,02-975-3535
122,월곡2점,서울특별시,성북구,서울특별시 성북구 하월곡2동 37-18,02-913-5912
123,은평구청점,서울특별시,은평구,서울특별시 은평구 은평로 200(응암동),02-353-6181
124,은행나무점,서울특별시,금천구,서울특별시 금천구 탑골로 17,02-803-9721
125,응암1점,서울특별시,은평구,서울특별시 은평구 응암동 124-17,02-353-6479
126,이대점,서울특별시,마포구,"서울특별시 마포구 숭문16길 10, 1층(염리동)",02-711-5626
127,이화동점,서울특별시,종로구,서울특별시 종로구 대학로 52(연건동),02-745-0233
128,자양1점,서울특별시,광진구,"서울특별시 광진구 자양로13다길 47(자양동, 1층)",02-446-4477
129,자양3점,서울특별시,광진구,서울특별시 광진구 뚝섬로 693,02-456-9276
130,잠실새마을점,서울특별시,송파구,"서울특별시 송파구 백제고분로7길 39, 1층 106호(잠실동,고려빌딩)",02-417-3599
131,장미점,서울특별시,송파구,서울특별시 송파구 신천동 7 장미 B-202,02-415-6161
132,장위동점,서울특별시,성북구,서울특별시 성북구 장월로 90,02-941-9300
133,정릉4동점,서울특별시,성북구,서울특별시 성북구 정릉동 372-47,02-943-1960
134,정릉점,서울특별시,성북구,서울특별시 성북구 돈암동 43-6,02-911-6329
135,종로낙원점,서울특별시,종로구,서울특별시 종로구 낙원동 49,02-765-0508
136,중곡1점,서울특별시,광진구,"서울특별시 광진구 용마산로7길 20(중곡동, 1층)",02-455-3688
137,중곡2점,서울특별시,광진구,서울특별시 광진구 중곡동 199-27,02-468-9658
138,증산동점,서울특별시,은평구,서울특별시 은평구 증산동 159-14,02-304-9346
139,진달래점,서울특별시,강남구,서울특별시 강남구 역삼동 779-9,02-567-9779
140,창동역점,서울특별시,도봉구,서울특별시 도봉구 창동 135-14 1층 103,02-900-9297
141,창신동점,서울특별시,종로구,"서울특별시 종로구 지봉로5길 12, 1층(창신동)",02-741-9292
142,천왕점,서울특별시,구로구,서울특별시 구로구 천왕로 56 천왕이펜하우스3단지 상가 1층 102호,02-2685-9592
143,천호점,서울특별시,강동구,"서울특별시 강동구 천중로18길 53, 1층 (천호동)",02-476-6188
144,청량리점,서울특별시,동대문구,"서울특별시 동대문구 왕산로 247, 1층(청량리동)",02-969-9595
145,청룡동점,서울특별시,관악구,서울특별시 관악구 청룡길 20,02-876-9294
146,총신대점,서울특별시,동작구,서울특별시 동작구 사당5동 213-7,02-588-3581
147,풍납점,서울특별시,송파구,서울특별시 송파구 풍성로 24(풍납동),02-474-7649
148,합정동점,서울특별시,마포구,서울특별시 마포구 포은로 52(합정동),02-323-8065
149,해방촌점,서울특별시,용산구,서울특별시 용산구 용산동2가 1-46,02-774-3110
150,행당동점,서울특별시,성동구,"서울특별시 성동구 행당로 119 (행당동,1층)",02-2294-6676
151,홍은1점,서울특별시,서대문구,서울특별시 서대문구 홍은2동 9-56 1층,02-391-9992
152,홍은동점,서울특별시,서대문구,서울특별시 서대문구 홍은동 427-4,02-394-9454
153,홍익대점,서울특별시,마포구,"서울특별시 마포구 독막로22길 21, 1층101호(창전동)",02-334-4161
154,화곡1점,서울특별시,강서구,"서울특별시 강서구 월정로28길 24(화곡동, 1층)",02-2691-9393
155,화양동점,서울특별시,광진구,"서울특별시 광진구 능동로13길 70(화양동, 1층)",02-468-8163
156,훼미리점,서울특별시,송파구,"서울특별시 송파구 중대로 24(문정동, 훼미리상가125호)",02-448-9200
157,흑석동점,서울특별시,동작구,서울특별시 동작구 흑석동 96-3,02-814-5832
158,개금점,부산광역시,부산진구,부산광역시 부산진구 개금3동 18,051-897-6061
159,광안점,부산광역시,수영구,부산광역시 수영구 무학로33번길 55,051-753-8989
160,괘법점,부산광역시,사상구,부산광역시 사상구 광장로37번길 71,051-908-3998
161,구포점,부산광역시,북구,부산광역시 북구 구포동 391-9,051-337-5552
162,기장점,부산광역시,기장군,부산광역시 기장군 기장읍 대라리 129-1,051-722-9292
163,당감점,부산광역시,부산진구,부산광역시 부산진구 당감동 739-10,051-898-3392
164,동삼점,부산광역시,영도구,부산광역시 영도구 태종로 688-2(동삼동),051-405-3377
165,두구동점,부산광역시,금정구,부산광역시 금정구 두구동 230-3,051-508-0032
166,명지점,부산광역시,강서구,부산광역시 강서구 명지오션시티10 16 ,051-271-8253
167,모라점,부산광역시,사상구,부산광역시 사상구 모라로46번길 70(모라동),051-327-3903
168,반송2점,부산광역시,해운대구,부산광역시 해운대구 반송동 62-340,051-543-5531
169,반여점,부산광역시,해운대구,부산광역시 해운대구 선수촌로 207번가길 67,051-527-9988
170,부산송정점,부산광역시,해운대구,부산광역시 해운대구 송정중앙로 15-1,051-703-7109
171,부산신평점,부산광역시,사하구,부산광역시 사하구 다대로142번길 130(신평동),051-207-6551
172,사직점,부산광역시,동래구,부산광역시 동래구 사직동 19-45,051-502-7181
173,서3점,부산광역시,금정구,부산광역시 금정구 서동 203-6,051-526-4193
174,신선점,부산광역시,영도구,부산광역시 영도구 하나길 614,051-417-9987
175,용호점,부산광역시,남구,"부산광역시 남구 용호로42번길 104(용호동,1층)",051-623-5543
176,장림점,부산광역시,사하구,부산광역시 사하구 장림동 641-180,051-263-8302
177,초량점,부산광역시,동구,부산광역시 동구 초량중로 49  101호 ,051-465-9292
178,토곡점,부산광역시,연제구,부산광역시 연제구 연산동 410-2,051-753-9992
179,학장점,부산광역시,사상구,부산광역시 사상구 학감대로 129,051-316-9700
180,해운대점,부산광역시,해운대구,부산광역시 해운대구 우동 541-5 해운대비치오피스텔 101,051-744-3803
181,해운대좌동주공2,부산광역시,해운대구,부산광역시 해운대구 좌동순환로 118 주공2단지 분산상가 나-105,051-701-8181
182,화명점,부산광역시,북구,부산광역시 북구 화명동 1417-6,051-342-8833
183,감삼점,대구광역시,달서구,대구광역시 달서구 두류3동 630-1,053-562-9929
184,강남점,대구광역시,동구,대구광역시 동구 신암로16길 2,053-941-2510
185,강북점,대구광역시,북구,대구광역시 북구 읍내동 803-1,053-322-5090
186,관음점,대구광역시,북구,대구광역시 북구 관음동 1319-11,053-321-7855
187,대구고성점,대구광역시,서구,대구광역시 서구 원대로13길 16,053-354-9901
188,대구남산점,대구광역시,중구,대구광역시 중구 남산로2길 13(남산동),053-255-5417
189,대구대명점,대구광역시,남구,대구광역시 남구 두류공원로17길 48 (지하1층),053-656-9515
190,대구상동점,대구광역시,수성구,대구광역시 수성구 중동 502-3,053-761-3430
191,대구서문점,대구광역시,서구,대구광역시 서구 비산동 280-8,053-257-7235
192,대구송정점,대구광역시,동구,대구광역시 동구 반야월로 379(신서동),053-964-5592
193,대구신당점,대구광역시,달서구,대구광역시 달서구 신당동 1808-5,053-584-3800
194,대구지산점,대구광역시,수성구,대구광역시 수성구 지산동 1234 지산단지114-4,053-783-7890
195,대명계대점,대구광역시,남구,대구광역시 남구 대명동 1899-2,053-219-9992
196,대봉점,대구광역시,중구,대구광역시 중구 대봉동 121-241,053-426-5822
197,동인점,대구광역시,중구,대구광역시 중구 동인동3가 238-2,053-426-5711
198,동촌점,대구광역시,동구,대구광역시 동구 검사동 960-170,053-985-6603
199,만촌점,대구광역시,수성구,대구광역시 수성구 만촌동 963-4,053-751-0870
200,명곡점,대구광역시,달성군,대구광역시 달성군 화원읍 설화리 779-1,053-638-9935
201,범어B점,대구광역시,수성구,대구광역시 수성구 동대구로77길 24,053-754-7209
202,본리점,대구광역시,달서구,대구광역시 달서구 본리동 81-3번지,053-527-5527
203,봉덕2점,대구광역시,남구,대구광역시 남구 봉덕동 924-3,053-476-4819
204,불로점,대구광역시,동구,대구광역시 동구 불로동 1139-7,053-985-7366
205,비산점,대구광역시,서구,대구광역시 서구 평리동 791-24,053-559-5997
206,비산B점,대구광역시,서구,대구광역시 서구 비산1동 723-1,053-553-5928
207,산격점,대구광역시,북구,대구광역시 북구 산격동 1232-3,053-942-9994
208,상인점,대구광역시,달서구,대구광역시 달서구 상인동 1474,053-633-9977
209,서남점,대구광역시,달서구,대구광역시 달서구 감삼동 63-7,053-556-7383
210,서변점,대구광역시,북구,대구광역시 북구 서변동 1738-14,053-939-9399
211,성당점,대구광역시,달서구,"대구광역시 달서구 장기로 97(성당동, 보람빌딩지하1층)",053-629-5088
212,성서점,대구광역시,달서구,"대구광역시 달서구 이곡동 1194-2, 상가108호",053-584-0067
213,송현점,대구광역시,달서구,대구광역시 달서구 송현동 798-23,053-652-8906
214,수성점,대구광역시,수성구,대구광역시 수성구 수성동1가 82-2,053-755-2585
215,신매점,대구광역시,수성구,대구광역시 수성구 신매동 599-15,053-792-5690
216,신천점,대구광역시,동구,대구광역시 동구 신천동 279-17,053-754-2703
217,와룡점,대구광역시,달서구,"대구광역시 달서구 이곡동로 32, 403-106(이곡동,성서와룡타운)",053-587-1745
218,율하점,대구광역시,동구,대구광역시 동구 율하동로12길 12(율하동),053-963-9292
219,중리점,대구광역시,서구,대구광역시 서구 국채보상로38길 57-1,053-562-9595
220,진천대곡점,대구광역시,달서구,대구광역시 달서구 상화로21길 49(진천동),053-635-7709
221,칠곡2점,대구광역시,북구,대구광역시 북구 구암동 674-4,053-323-5515
222,칠성점,대구광역시,북구,"대구광역시 북구 칠성로15길  8, 1층",053-428-2977
223,침산점,대구광역시,북구,대구광역시 북구 침산동 1466-1,053-353-0396
224,태전점,대구광역시,북구,대구광역시 북구 태전동 162-30,053-312-1977
225,테크노점(대구),대구광역시,달성군,대구광역시 달성군 유가면 테크노상업로 98,053-616-9980
226,파동점,대구광역시,수성구,대구광역시 수성구 파동 199-22 1층,053-768-0770
227,평리점,대구광역시,서구,대구광역시 서구 평리동 618-1,053-562-5997
228,화원점,대구광역시,달성군,"대구광역시 달성군 화원읍 화원로2길, 27",053-634-2022
229,황제점,대구광역시,서구,대구광역시 서구 내당동 69-26,053-558-5777
230,남원점,제주특별자치도,서귀포시,제주특별자치도 서귀포시 남원읍 남원리 100-1,064-764-8292
231,도련점,제주특별자치도,제주시,"제주특별자치도 제주시 삼봉로 115, 미듬하나로맨션상가 103",064-751-9282
232,모슬포점,제주특별자치도,서귀포시,제주특별자치도 서귀포시 대정읍 상모대서로 25,064-792-2206
233,서귀동문점,제주특별자치도,서귀포시,제주특별자치도 서귀포시 서문로29번길 18,064-733-5592
234,성산점,제주특별자치도,서귀포시,제주특별자치도 서귀포시 성산읍 178-3,064-782-4740
235,신시가지점,제주특별자치도,서귀포시,제주특별자치도 서귀포시 김정문화로 66(법환동),064-739-6949
236,신제주점,제주특별자치도,제주시,제주특별자치도 제주시 신대로 124(연동),064-744-6141
237,아라점,제주특별자치도,제주시,제주특별자치도 제주시 인다12길 1 아라주공아파트 상가 106호,064-702-9978
238,애월점,제주특별자치도,제주시,제주특별자치도 제주시 애월읍 애월리 1717-6,064-799-4482
239,연동점,제주특별자치도,제주시,제주특별자치도 제주시 연동 251-23,064-747-4700
240,위미점,제주특별자치도,서귀포시,제주특별자치도 서귀포시 남원읍 위미리 1759-2,064-764-1181
241,이도점,제주특별자치도,제주시,"제주특별자치도 제주시 도남로15길 4-12, 101(도남동)",064-759-9985
242,일도점,제주특별자치도,제주시,제주특별자치도 제주시 천수로 25-1,064-726-5592
243,제주동문점,제주특별자치도,제주시,제주특별자치도 제주시 일도1동 1084-13,064-757-3522
244,조천점,제주특별자치도,제주시,제주특별자치도 제주시 조천읍  조천리 2589,064-783-5799
245,중문점,제주특별자치도,서귀포시,제주특별자치도 서귀포시 천제연로185번 3-1,064-738-8483
246,표선점,제주특별자치도,서귀포시,제주특별자치도 서귀포시 표선면 표선리 839-7,064-787-0075
247,한림점,제주특별자치도,제주시,제주특별자치도 제주시 한림읍 한림중앙로 3-1,064-796-7603
248,함덕점,제주특별자치도,제주시,제주특별자치도 제주시 초천읍 평사길 4-3,064-783-9193
249,효돈점,제주특별자치도,서귀포시,제주특별자치도 서귀포시 하효동 142-1,064-767-2314
250,각화주공점,광주광역시,북구,광주광역시 북구 각화동 202번지 주공@상가 107호,062-264-8529
251,광산점,광주광역시,광산구,광주광역시 광산구 송정동 792-14,062-941-0550
252,금호동점,광주광역시,서구,광주광역시 서구 금호동 815 호반리젠시빌 상가,062-682-3392
253,상무세정점,광주광역시,서구,광주광역시 서구 치평동 상무화원로31번길18,062-376-3355
254,소촌점,광주광역시,광산구,광주광역시 광산구 소촌동 610 서라@상가105,062-945-4792
255,수완점,광주광역시,광산구,광주광역시 광산구 신가번영로 89-2,062-952-7792
256,신창부영점,광주광역시,광산구,광주광역시 광산구 신창동 1270번지 부영@2차 상가 2-106,062-959-9229
257,쌍촌시영점,광주광역시,서구,광주광역시 서구 쌍촌로 37,062-375-2365
258,운남삼성점,광주광역시,광산구,광주광역시 광산구 운남동 387-22번지 삼성@ 상가 127호,062-953-2624
259,으뜸점,광주광역시,서구,광주광역시 서구 치평동 1168번지 해광한신@ 상가 113호,062-371-8292
260,전대점,광주광역시,북구,"광주광역시 북구 서양로41번길 8, 1층(중흥동)",062-251-9222
261,지원점,광주광역시,동구,광주광역시 동구 소태동 653-4,062-228-9292
262,화정점,광주광역시,서구,광주광역시 서구 화정동 766-1,062-375-8100
263,남목점,울산광역시,동구,울산광역시 동구 동해안로 40-2(동부동),052-234-3310
264,남창점,울산광역시,울주군,울산광역시 울주군 온양읍 대안리 411-4,052-238-1030
265,달동1점,울산광역시,남구,울산광역시 남구 달동 1329-9,052-273-9292
266,달동2점,울산광역시,남구,"울산광역시 남구 번영로107번길 3, 203(달동, 주공아파트)",052-269-9959
267,달천점,울산광역시,북구,울산광역시 북구 달천로 103-19(달천아이파크 2차상가 100동 B109호),052-297-9963
268,대송점,울산광역시,동구,울산광역시 동구 화정동 164-11,052-236-3333
269,무거1점,울산광역시,남구,울산광역시 남구 신복로23번길 15(무거동),052-225-9200
270,반구점,울산광역시,중구,울산광역시 중구 반구동 101-8,052-293-9999
271,방어진점,울산광역시,동구,울산광역시 동구 방어동 문현지구 70B10N,052-201-4730
272,범서점,울산광역시,울주군,울산광역시 울주군 범서읍 점촌5길 37,052-245-2580
273,병영점,울산광역시,중구,울산광역시 중구 병영로 80,052-292-5255
